id,source,n,old_eje,old_tema,old_sprint,new_eje,new_tema,new_sprint,sprint_id
"Q0009","clinica","9","Salud de las personas adultas y adultos mayores","Cardiología","Arritmias y ECG","Salud de las personas adultas y adultos mayores","Cardiología","SAD-CL3 · Arritmias, ECG, insuficiencia cardíaca y valvulopatías","SAD-CL3"
"Q0015","clinica","15","Salud de las personas adultas y adultos mayores","Cardiología","Arritmias y ECG","Salud de las personas adultas y adultos mayores","Cardiología","SAD-CL3 · Arritmias, ECG, insuficiencia cardíaca y valvulopatías","SAD-CL3"
"Q0029","clinica","29","Salud de las personas adultas y adultos mayores","Cardiología","Arritmias y ECG","Salud de las personas adultas y adultos mayores","Cardiología","SAD-CL3 · Arritmias, ECG, insuficiencia cardíaca y valvulopatías","SAD-CL3"
"Q0030","clinica","30","Salud de las personas adultas y adultos mayores","Cardiología","Arritmias y ECG","Salud de las personas adultas y adultos mayores","Cardiología","SAD-CL3 · Arritmias, ECG, insuficiencia cardíaca y valvulopatías","SAD-CL3"
"Q0034","clinica","34","Salud de las personas adultas y adultos mayores","Cardiología","Arritmias y ECG","Salud de las personas adultas y adultos mayores","Cardiología","SAD-CL2 · SCA, dolor torácico, síncope, pericarditis y RCP","SAD-CL2"
"Q0035","clinica","35","Salud de las personas adultas y adultos mayores","Cardiología","Arritmias y ECG","Salud de las personas adultas y adultos mayores","Cardiología","SAD-CL2 · SCA, dolor torácico, síncope, pericarditis y RCP","SAD-CL2"
"Q0037","clinica","36","Salud de las personas adultas y adultos mayores","Cardiología","Arritmias y ECG","Salud de las personas adultas y adultos mayores","Cardiología","SAD-CL2 · SCA, dolor torácico, síncope, pericarditis y RCP","SAD-CL2"
"Q0038","clinica","38","Salud de las personas adultas y adultos mayores","Cardiología","Arritmias y ECG","Salud de las personas adultas y adultos mayores","Cardiología","SAD-CL3 · Arritmias, ECG, insuficiencia cardíaca y valvulopatías","SAD-CL3"
"Q0045","clinica","46","Salud de las personas adultas y adultos mayores","Cardiología","Arritmias y ECG","Salud de las personas adultas y adultos mayores","Cardiología","SAD-CL3 · Arritmias, ECG, insuficiencia cardíaca y valvulopatías","SAD-CL3"
"Q0047","clinica","48","Salud de las personas adultas y adultos mayores","Cardiología","Arritmias y ECG","Salud de las personas adultas y adultos mayores","Cardiología","SAD-CL3 · Arritmias, ECG, insuficiencia cardíaca y valvulopatías","SAD-CL3"
"Q0057","clinica","58","Salud de las personas adultas y adultos mayores","Cardiología","Arritmias y ECG","Salud de las personas adultas y adultos mayores","Cardiología","SAD-CL3 · Arritmias, ECG, insuficiencia cardíaca y valvulopatías","SAD-CL3"
"Q0060","clinica","61","Salud de las personas adultas y adultos mayores","Cardiología","Arritmias y ECG","Salud de las personas adultas y adultos mayores","Cardiología","SAD-CL3 · Arritmias, ECG, insuficiencia cardíaca y valvulopatías","SAD-CL3"
"Q0062","clinica","63","Salud de las personas adultas y adultos mayores","Cardiología","Arritmias y ECG","Salud de las personas adultas y adultos mayores","Cardiología","SAD-CL3 · Arritmias, ECG, insuficiencia cardíaca y valvulopatías","SAD-CL3"
"Q0064","clinica","65","Salud de las personas adultas y adultos mayores","Cardiología","Arritmias y ECG","Salud de las personas adultas y adultos mayores","Cardiología","SAD-CL3 · Arritmias, ECG, insuficiencia cardíaca y valvulopatías","SAD-CL3"
"Q0065","clinica","66","Salud de las personas adultas y adultos mayores","Cardiología","Arritmias y ECG","Salud de las personas adultas y adultos mayores","Cardiología","SAD-CL3 · Arritmias, ECG, insuficiencia cardíaca y valvulopatías","SAD-CL3"
"Q0077","clinica","78","Salud de las personas adultas y adultos mayores","Cardiología","Arritmias y ECG","Salud de las personas adultas y adultos mayores","Cardiología","SAD-CL3 · Arritmias, ECG, insuficiencia cardíaca y valvulopatías","SAD-CL3"
"Q0079","clinica","80","Salud de las personas adultas y adultos mayores","Cardiología","Arritmias y ECG","Salud de las personas adultas y adultos mayores","Cardiología","SAD-CL3 · Arritmias, ECG, insuficiencia cardíaca y valvulopatías","SAD-CL3"
"Q0083","clinica","84","Salud de las personas adultas y adultos mayores","Cardiología","Arritmias y ECG","Salud de las personas adultas y adultos mayores","Cardiología","SAD-CL3 · Arritmias, ECG, insuficiencia cardíaca y valvulopatías","SAD-CL3"
"Q0087","clinica","88","Salud de las personas adultas y adultos mayores","Cardiología","Arritmias y ECG","Salud de las personas adultas y adultos mayores","Cardiología","SAD-CL3 · Arritmias, ECG, insuficiencia cardíaca y valvulopatías","SAD-CL3"
"Q0089","clinica","90","Salud de las personas adultas y adultos mayores","Cardiología","Arritmias y ECG","Salud de las personas adultas y adultos mayores","Cardiología","SAD-CL3 · Arritmias, ECG, insuficiencia cardíaca y valvulopatías","SAD-CL3"
"Q0071","clinica","72","Salud de las personas adultas y adultos mayores","Cardiología","Cardiología general","Salud de las personas adultas y adultos mayores","Cardiología","SAD-CL3 · Arritmias, ECG, insuficiencia cardíaca y valvulopatías","SAD-CL3"
"Q0076","clinica","77","Salud de las personas adultas y adultos mayores","Cardiología","Cardiología general","Salud de las personas adultas y adultos mayores","Cardiología","SAD-CL3 · Arritmias, ECG, insuficiencia cardíaca y valvulopatías","SAD-CL3"
"Q0007","clinica","7","Salud de las personas adultas y adultos mayores","Cardiología","HTA y crisis hipertensivas","Salud de las personas adultas y adultos mayores","Cardiología","SAD-CL1 · HTA, crisis hipertensivas, riesgo cardiovascular y TEP","SAD-CL1"
"Q0024","clinica","24","Salud de las personas adultas y adultos mayores","Cardiología","HTA y crisis hipertensivas","Salud de las personas adultas y adultos mayores","Cardiología","SAD-CL1 · HTA, crisis hipertensivas, riesgo cardiovascular y TEP","SAD-CL1"
"Q0080","clinica","81","Salud de las personas adultas y adultos mayores","Cardiología","HTA y crisis hipertensivas","Salud de las personas adultas y adultos mayores","Cardiología","SAD-CL2 · SCA, dolor torácico, síncope, pericarditis y RCP","SAD-CL2"
"Q0008","clinica","8","Salud de las personas adultas y adultos mayores","Cardiología","Insuficiencia cardíaca y edema agudo","Salud de las personas adultas y adultos mayores","Cardiología","SAD-CL2 · SCA, dolor torácico, síncope, pericarditis y RCP","SAD-CL2"
"Q0010","clinica","10","Salud de las personas adultas y adultos mayores","Cardiología","Insuficiencia cardíaca y edema agudo","Salud de las personas adultas y adultos mayores","Cardiología","SAD-CL1 · HTA, crisis hipertensivas, riesgo cardiovascular y TEP","SAD-CL1"
"Q0031","clinica","31","Salud de las personas adultas y adultos mayores","Cardiología","Insuficiencia cardíaca y edema agudo","Salud de las personas adultas y adultos mayores","Cardiología","SAD-CL3 · Arritmias, ECG, insuficiencia cardíaca y valvulopatías","SAD-CL3"
"Q0059","clinica","60","Salud de las personas adultas y adultos mayores","Cardiología","Insuficiencia cardíaca y edema agudo","Salud de las personas adultas y adultos mayores","Cardiología","SAD-CL2 · SCA, dolor torácico, síncope, pericarditis y RCP","SAD-CL2"
"Q0061","clinica","62","Salud de las personas adultas y adultos mayores","Cardiología","Insuficiencia cardíaca y edema agudo","Salud de las personas adultas y adultos mayores","Cardiología","SAD-CL3 · Arritmias, ECG, insuficiencia cardíaca y valvulopatías","SAD-CL3"
"Q0068","clinica","69","Salud de las personas adultas y adultos mayores","Cardiología","Insuficiencia cardíaca y edema agudo","Salud de las personas adultas y adultos mayores","Cardiología","SAD-CL1 · HTA, crisis hipertensivas, riesgo cardiovascular y TEP","SAD-CL1"
